iteration	time	f_value	arclength
2.600000000000000000e+02	7.789073637971120068e-01	1.647923237240826082e-03	3.755910553100245963e-02
2.610000000000000000e+02	8.063263482277235328e-01	1.362014565389261384e-03	3.895037646427743083e-02
2.620000000000000000e+02	8.347105317848908523e-01	1.075751043756692287e-03	4.040012375491561225e-02
2.630000000000000000e+02	8.640938912687506912e-01	7.929273199916311941e-04	4.190801898686274951e-02
2.650000000000000000e+02	9.260000675521780078e-01	2.738504532170493006e-04	4.508111835157620900e-02
2.660000000000000000e+02	9.585969880783675734e-01	1.261974036556335070e-04	4.670275234292312061e-02
2.670000000000000000e+02	9.923413806890872824e-01	2.336634021616348336e-04	4.822292116532016226e-02
2.680000000000000000e+02	1.027273638530793232e+00	4.171631303677519843e-04	4.951783714358871935e-02
2.690000000000000000e+02	1.063435576663644522e+00	5.809025642388379465e-04	5.054078866525703317e-02
2.710000000000000000e+02	1.139623165697915441e+00	7.749406415624349089e-04	5.174902904299839151e-02
2.720000000000000000e+02	1.179740015646162821e+00	7.917717859847800063e-04	5.202747938178707565e-02
2.730000000000000000e+02	1.221269053147463923e+00	7.524787620300463784e-04	5.234427800389789692e-02
2.740000000000000000e+02	1.264259989823933950e+00	6.586690242355220824e-04	5.289518317890899712e-02
2.750000000000000000e+02	1.308764287239017943e+00	5.152321578888339679e-04	5.372569738694353558e-02
2.770000000000000000e+02	1.402527932021079726e+00	1.321668513183922133e-04	5.619890295656657098e-02
2.780000000000000000e+02	1.451899517550984342e+00	8.868906764648755035e-05	5.766408913171144901e-02
2.790000000000000000e+02	1.503009074498133923e+00	2.521764602318804440e-04	5.889492938241694397e-02
2.800000000000000000e+02	1.555917782681132344e+00	3.688874675433957435e-04	5.966975799974327810e-02
2.810000000000000000e+02	1.610688975561721969e+00	4.067208445212224400e-04	6.004128652488414236e-02
2.830000000000000000e+02	1.726083375020431410e+00	2.329938528187792696e-04	6.123951571031335112e-02
2.840000000000000000e+02	1.786844712485396114e+00	6.098854302983846849e-05	6.249641238134767685e-02
2.850000000000000000e+02	1.849744961768848395e+00	1.258430931441401545e-04	6.381407904417461807e-02
2.860000000000000000e+02	1.914859416535449332e+00	2.439223897307319939e-04	6.465194205084354162e-02
2.870000000000000000e+02	1.982266020926560346e+00	2.591322398233227389e-04	6.506778176456669283e-02
2.890000000000000000e+02	2.124281270625809626e+00	2.323222299910746496e-05	6.694559039167510828e-02
2.900000000000000000e+02	2.199059912853022158e+00	1.519174705825736705e-04	6.807557355527904530e-02
2.910000000000000000e+02	2.276470902034787525e+00	1.927868150366970077e-04	6.859278384685459085e-02
2.920000000000000000e+02	2.356606901668102605e+00	1.012705197680192041e-04	6.926314494304500191e-02
2.930000000000000000e+02	2.439563837176979000e+00	6.293172019835509300e-05	7.040541957210763591e-02
2.950000000000000000e+02	2.614341220150029788e+00	8.879919694811386547e-05	7.173195178629480917e-02
2.960000000000000000e+02	2.706370881883036095e+00	6.626396059048733351e-05	7.276832013551448597e-02
2.970000000000000000e+02	2.801640158465636521e+00	1.216857857545086029e-04	7.346155468056850268e-02
2.980000000000000000e+02	2.900263090351475448e+00	1.495504055701022413e-05	7.432378897962345354e-02
2.990000000000000000e+02	3.002357732429782988e+00	1.031824833647934924e-04	7.519116149225328616e-02
3.010000000000000000e+02	3.217455291766533776e+00	8.755340577184507294e-05	7.675841399444816027e-02
3.020000000000000000e+02	3.330715687869444608e+00	1.753364429459216506e-05	7.759449907808742275e-02
3.030000000000000000e+02	3.447963060064360707e+00	7.878436413251040918e-05	7.839104467002144805e-02
3.040000000000000000e+02	3.569337757307374126e+00	3.016681459262685790e-05	7.906129001392957212e-02
3.050000000000000000e+02	3.694985069098217334e+00	4.396018033371122669e-05	8.010046630979258953e-02
3.070000000000000000e+02	3.959704446660721633e+00	3.798089439303681069e-05	8.119539144603785119e-02
3.080000000000000000e+02	4.099093390223319311e+00	5.923388336930680782e-06	8.233369719017795407e-02
3.090000000000000000e+02	4.243389083228773728e+00	2.392298813331829842e-05	8.359059489726285153e-02
3.100000000000000000e+02	4.392764252361692989e+00	3.424552841484009756e-05	8.454632616028909253e-02
3.110000000000000000e+02	4.547397704606495950e+00	3.559358761233615221e-05	8.528729277228207228e-02
3.130000000000000000e+02	4.873186379629851572e+00	2.222762821275895578e-05	8.682762147875000558e-02
3.140000000000000000e+02	5.044731582154520666e+00	5.534123097136059237e-06	8.798242118329946404e-02
3.150000000000000000e+02	5.222315494101896327e+00	1.922588561903904107e-05	8.912848715299681590e-02
3.160000000000000000e+02	5.406150689248171659e+00	3.005094955337353751e-05	8.969543891317402484e-02
3.170000000000000000e+02	5.596457224360922744e+00	8.310435761610794297e-06	9.039622436568302277e-02
3.190000000000000000e+02	5.997403546276515840e+00	2.600249709972151900e-06	9.202707087796624386e-02
3.200000000000000000e+02	6.208523278997752470e+00	1.852557746605608917e-05	9.303633360702713573e-02
3.210000000000000000e+02	6.427074818033222670e+00	2.077385352938351592e-05	9.344809487487427957e-02
3.220000000000000000e+02	6.653319776754565318e+00	1.894804402400825024e-05	9.366599412615753129e-02
