iteration	time	x1	x2	radius	f_value	arclength
1.790000000000000000e+02	4.725605127161014440e-02	3.964227923958050376e-02	1.995978295377675085e-02	4.438359200054398795e-02	2.092569666095392758e-02	3.599717413016061455e-04
1.810000000000000000e+02	5.064161095446306077e-02	3.958948792226030244e-02	1.995380684270158314e-02	4.433375645557952049e-02	2.085792296997777268e-02	4.130999061739271247e-04
1.820000000000000000e+02	5.242428962312069979e-02	3.956025639904050401e-02	1.995049317951432671e-02	4.430616282712454557e-02	2.082045824838892403e-02	4.425184439987378212e-04
1.840000000000000000e+02	5.618011679391241020e-02	3.949544576163783322e-02	1.994313461320582764e-02	4.424498676811785408e-02	2.073755306986809974e-02	5.077449876340906897e-04
1.850000000000000000e+02	5.815776114454845880e-02	3.945956841673722154e-02	1.993905417431783220e-02	4.421112327233438222e-02	2.069175374046198015e-02	5.438533208338630154e-04
1.870000000000000000e+02	6.232435073630857719e-02	3.938004719088156885e-02	1.992999227530364154e-02	4.413607038296139123e-02	2.059048111311943124e-02	6.238884545117740973e-04
1.880000000000000000e+02	6.451828352204597161e-02	3.933604083794162848e-02	1.992496697150530557e-02	4.409453954425410216e-02	2.053458014654047786e-02	6.681803480168313795e-04
1.900000000000000000e+02	6.914055926496939786e-02	3.923853843515230644e-02	1.991380583504305524e-02	4.400252903371259378e-02	2.041108500881603366e-02	7.663183443085582174e-04
1.910000000000000000e+02	7.157443523806100716e-02	3.918460315981302927e-02	1.990761587782706107e-02	4.395163585955751129e-02	2.034298536379629263e-02	8.206069607141303025e-04
1.930000000000000000e+02	7.670223402243646349e-02	3.906515704918009368e-02	1.989386674962385568e-02	4.383893736769739480e-02	2.019271316103134206e-02	9.408400681006328509e-04
1.940000000000000000e+02	7.940229497731272901e-02	3.899911599107387661e-02	1.988624071626215670e-02	4.377663324092383179e-02	2.010994948212497385e-02	1.007318924656965247e-03
1.960000000000000000e+02	8.509090418962504676e-02	3.885294361163085103e-02	1.986929979612559252e-02	4.363874770976915868e-02	1.992757671229321292e-02	1.154467154381379158e-03
1.970000000000000000e+02	8.808626189915833016e-02	3.877217526170327611e-02	1.985990224195965936e-02	4.356256755041453682e-02	1.982728587975698606e-02	1.235778803018636055e-03
1.990000000000000000e+02	9.439701552486744196e-02	3.859353205495626854e-02	1.983902297098291689e-02	4.339409578410552415e-02	1.960667708121237307e-02	1.415634158467434737e-03
2.000000000000000000e+02	9.771996562044087120e-02	3.849489646392523223e-02	1.982743894155909389e-02	4.330108992565403353e-02	1.948558728750414415e-02	1.514945287003177047e-03
2.020000000000000000e+02	1.047209055405541878e-01	3.827692441060199374e-02	1.980169730004835774e-02	4.309559325844906919e-02	1.921980244696167017e-02	1.734426280399005947e-03
2.030000000000000000e+02	1.084072757201584442e-01	3.815668648539011221e-02	1.978741290567290548e-02	4.298225718879760543e-02	1.907425544783199201e-02	1.855506197435550370e-03
2.050000000000000000e+02	1.161738853316259534e-01	3.789126204278245313e-02	1.975566380980257192e-02	4.273211897110591045e-02	1.875564335940380425e-02	2.122814100265058620e-03
2.060000000000000000e+02	1.202634216503262604e-01	3.774501792676918099e-02	1.973804177151441963e-02	4.259432674977003258e-02	1.858167115917130907e-02	2.270110818706027114e-03
2.080000000000000000e+02	1.288794397200773989e-01	3.742261528203501969e-02	1.969886406866626360e-02	4.229062993315412661e-02	1.820209914909696330e-02	2.594872254524056582e-03
2.090000000000000000e+02	1.334162351277930481e-01	3.724523213236574648e-02	1.967711280412386479e-02	4.212358110251341464e-02	1.799558459234548713e-02	2.773576185987845603e-03
2.110000000000000000e+02	1.429745586553037295e-01	3.685482827063878142e-02	1.962873957529321159e-02	4.175602692034956209e-02	1.754687262938785242e-02	3.166946385008793420e-03
2.120000000000000000e+02	1.480075284023508742e-01	3.664041416035806326e-02	1.960187393387707519e-02	4.155422254792136977e-02	1.730383250027789019e-02	3.383025431183292204e-03
